team,player,fpl_position,synthetic_demo_position,source,season
Arsenal,Fábio Ferreira Vieira,MID,LW,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Reiss Nelson,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Christos Tzolis,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Viktor Gyökeres,FWD,ST,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Kai Havertz,FWD,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Arsenal,Gabriel Fernando de Jesus,FWD,LW,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Emiliano Martínez Romero,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Marco Bizot,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Lucas Digne,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Ezri Konsa Ngoyo,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Matty Cash,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Tyrone Mings,DEF,LB,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Pau Torres,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Ian Maatsen,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Victor Lindelöf,DEF,LB,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Andrés García,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Kosta Nedeljkovic,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Lamare Bogarde,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Emiliano Buendía Stati,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Evann Guessand,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Leon Bailey,MID,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,John McGinn,MID,LW,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Ross Barkley,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Boubacar Kamara,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Amadou Onana,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Samuel Iling-Junior,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Bradley Burrowes,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,George Hemmings,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Alysson Edward Franco da Rocha dos Santos,MID,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Johan Manzambi,MID,LW,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Joao Gomes,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Alejandro Garnacho Ferreyra,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Ollie Watkins,FWD,ST,Official Fantasy Premier League bootstrap-static API,2026/27
Aston Villa,Tammy Abraham,FWD,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,Đorđe Petrović,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,Fraser Forster,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,Will Dennis,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,James Hill,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,Adrien Truffert,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,Bafodé Diakité,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,Veljko Milosavljevic,DEF,LB,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,Adam Smith,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,Julián Araujo Zúñiga,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,Julio Soler Barreto,DEF,LB,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,Rayan Vitor Simplício Rocha,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,Marcus Tavernier,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,Alex Scott,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,Justin Kluivert,MID,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,Lewis Cook,MID,LW,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,Ben Gannon-Doak,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,Tyler Adams,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,David Brooks,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,Ryan Christie,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,Alex Tóth,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,Amine Adli,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,Junior Kroupi,MID,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,Francisco Evanilson de Lima Barbosa,FWD,ST,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,Enes Ünal,FWD,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Bournemouth,Álvaro Rodríguez,FWD,LW,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Caoimhín Kelleher,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Hákon Rafn Valdimarsson,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Nathan Collins,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Sepp van den Berg,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Kristoffer Ajer,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Michael Kayode,DEF,LB,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Rico Henry,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Aaron Hickey,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Ethan Pinnock,DEF,LB,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Kim Ji-soo,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Jannik Schuster,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Keane Lewis-Potter,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Kevin Schade,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Dango Ouattara,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Mikkel Damsgaard,MID,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Mathias Jensen,MID,LW,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Vitaly Janelt,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Antoni Milambo,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Fábio Freitas Gouveia Carvalho,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Jordan Henderson,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Yehor Yarmoliuk,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Josh Dasilva,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Jaidon Anthony,MID,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Igor Thiago Nascimento Rodrigues,FWD,ST,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Kaye Furo,FWD,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Brentford,Callum Wilson,FWD,LW,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Bart Verbruggen,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Carl Rushworth,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Jason Steele,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Ferdi Kadıoğlu,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Olivier Boscagli,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Maxim De Cuyper,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Lewis Dunk,DEF,LB,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Diego Coppola,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Igor Julio dos Santos de Paulo,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,João Pedro Loureiro da Costa,DEF,LB,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Michael Svoboda,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Mats Wieffer,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Pascal Struijk,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Luka Vušković,DEF,LB,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Mitoma Kaoru,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Yankuba Minteh,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Jack Hinshelwood,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Pascal Groß,MID,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Matt O'Riley,MID,LW,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Diego Gómez Amarilla,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Facundo Buonanotte,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Yasin Ayari,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Carlos Baleba,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Harry Howell,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Tom Watson,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Nehemiah Oriola,MID,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Zadok Yohanna,MID,LW,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Georginio Rutter,FWD,ST,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Danny Welbeck,FWD,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Stefanos Tzimas,FWD,LW,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Charalampos Kostoulas,FWD,ST,Official Fantasy Premier League bootstrap-static API,2026/27
Brighton,Evan Ferguson,FWD,ST,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Robert Lynch Sánchez,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Filip Jörgensen,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Mike Penders,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Reece James,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Trevoh Chalobah,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Malo Gusto,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Wesley Fofana,DEF,LB,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Benoît Badiashile Mukinayi,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Tosin Adarabioyo,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Jorrel Hato,DEF,LB,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Levi Samuels Colwill,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Mamadou Sarr,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Josh Acheampong,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Marco Palestra,DEF,LB,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Axel Disasi,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Aaron Anselmino,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Morgan Rogers,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Cole Palmer,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Enzo Fernández,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Pedro Lomba Neto,MID,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Estêvão Almeida de Oliveira Gonçalves,MID,LW,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Jamie Bynoe-Gittens,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Moisés Caicedo Corozo,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Roméo Lavia,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Dário Luís Essugo,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Geovany Quenda,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,João Pedro Junqueira de Jesus,FWD,ST,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Nicolas Jackson,FWD,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Liam Delap,FWD,LW,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Marc Guiu Paz,FWD,ST,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Shumaira Mheuka,FWD,ST,Official Fantasy Premier League bootstrap-static API,2026/27
Chelsea,Emmanuel Emegha,FWD,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Oliver Dovin,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Ben Wilson,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Bobby Thomas,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Liam Kitching,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Milan van Ewijk,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Jay Dasilva,DEF,LB,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Kaine Kesler-Hayden,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Jake Bidwell,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Joel Latibeaudiere,DEF,LB,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Luke Woolfenden,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Miguel Brau,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Aurèle Amenda,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Frank Onyeka,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Jack Rudoni,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Matt Grimes,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Tatsuhiro Sakamoto,MID,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Ephron Mason-Clark,MID,LW,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Josh Eccles,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Victor Torp,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,George Shepherd,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Loum Tchaouna,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Raphael Borges Rodrigues,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Kaine Andrews,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Haji Wright,FWD,ST,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Brandon Thomas-Asante,FWD,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Ellis Simms,FWD,LW,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Jahnoah Markelo,FWD,ST,Official Fantasy Premier League bootstrap-static API,2026/27
Coventry City,Norman Bassette,FWD,ST,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Dean Henderson,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Walter Benítez,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Remi Matthews,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Maxence Lacroix,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Daniel Muñoz Mejía,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Chris Richards,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Jaydee Canvot,DEF,LB,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Tyrick Mitchell,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Borna Sosa,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Chadi Riad Dnanou,DEF,LB,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Oscar Mingueza,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Rio Cardines,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Ismaïla Sarr,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Brennan Johnson,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Adam Wharton,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Yéremy Pino Santos,MID,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Will Hughes,MID,LW,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Jefferson Lerma Solís,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Daichi Kamada,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Justin Devenny,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Romain Esse,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Matheus França de Oliveira,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Cheick Doucouré,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Jesurun Rak-Sakyi,MID,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Joél Drakes-Thomas,MID,LW,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Jørgen Strand Larsen,FWD,ST,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Jean-Philippe Mateta,FWD,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Eddie Nketiah,FWD,LW,Official Fantasy Premier League bootstrap-static API,2026/27
Crystal Palace,Christantus Uche,FWD,ST,Official Fantasy Premier League bootstrap-static API,2026/27
Everton,Jordan Pickford,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Everton,Mark Travers,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Everton,Tom King,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Everton,James Tarkowski,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Everton,Jarrad Branthwaite,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Everton,Michael Keane,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Everton,Jake O'Brien,DEF,LB,Official Fantasy Premier League bootstrap-static API,2026/27
Everton,Vitalii Mykolenko,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Everton,Nathan Patterson,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Everton,Adam Aznou,DEF,LB,Official Fantasy Premier League bootstrap-static API,2026/27
Everton,Kiernan Dewsbury-Hall,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Everton,Iliman Ndiaye,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Everton,James Garner,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Everton,Tim Iroegbunam,MID,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Everton,Dwight McNeil,MID,LW,Official Fantasy Premier League bootstrap-static API,2026/27
Everton,Tyrique George,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Everton,Carlos Alcaraz Durán,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Everton,Harrison Armstrong,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Everton,Tyler Dibling,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Everton,Merlin Röhl,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Everton,Hayden Hackney,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Everton,Norberto Bercique Gomes Betuncal,FWD,ST,Official Fantasy Premier League bootstrap-static API,2026/27
Everton,Thierno Barry,FWD,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Fulham,Bernd Leno,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Fulham,Benjamin Lecomte,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Fulham,Alfie McNally,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Fulham,Joachim Andersen,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Fulham,Antonee Robinson,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Fulham,Jorge Cuenca Barreno,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Fulham,Kenny Tete,DEF,LB,Official Fantasy Premier League bootstrap-static API,2026/27
Fulham,Calvin Bassey,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Fulham,Timothy Castagne,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Fulham,Ryan Sessegnon,DEF,LB,Official Fantasy Premier League bootstrap-static API,2026/27
Fulham,Alex Iwobi,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Fulham,Emile Smith Rowe,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Fulham,Kevin Santos Lopes de Macedo,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Fulham,Oscar Bobb,MID,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Fulham,Sander Berge,MID,LW,Official Fantasy Premier League bootstrap-static API,2026/27
Fulham,Tom Cairney,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Fulham,Saša Lukić,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Fulham,Josh King,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Fulham,Harrison Reed,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Fulham,Rodrigo Muniz Carvalho,FWD,ST,Official Fantasy Premier League bootstrap-static API,2026/27
Fulham,Jonah Kusi-Asare,FWD,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Hull City,Dillon Phillips,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Hull City,Jack Butland,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Hull City,Harvey Cartwright,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Hull City,Thimothée Lo-Tutala,GK,GK,Official Fantasy Premier League bootstrap-static API,2026/27
Hull City,John Egan,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Hull City,Charlie Hughes,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Hull City,Semi Ajayi,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Hull City,Lewie Coyle,DEF,LB,Official Fantasy Premier League bootstrap-static API,2026/27
Hull City,Cody Drameh,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Hull City,Ryan Giles,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Hull City,Matty Jacob,DEF,LB,Official Fantasy Premier League bootstrap-static API,2026/27
Hull City,Cathal McCarthy,DEF,RB,Official Fantasy Premier League bootstrap-static API,2026/27
Hull City,Paddy McNair,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Hull City,Matt Targett,DEF,CB,Official Fantasy Premier League bootstrap-static API,2026/27
Hull City,Mohamed Belloumi,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
Hull City,Liam Millar,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Hull City,Kieran Dowell,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Hull City,Matt Crooks,MID,RW,Official Fantasy Premier League bootstrap-static API,2026/27
Hull City,Regan Slater,MID,LW,Official Fantasy Premier League bootstrap-static API,2026/27
Hull City,Eliot Matazo,MID,CM,Official Fantasy Premier League bootstrap-static API,2026/27
Hull City,Abdülkadir Ömür,MID,AM,Official Fantasy Premier League bootstrap-static API,2026/27
Hull City,Abu Kamara,MID,DM,Official Fantasy Premier League bootstrap-static API,2026/27
